iteracao;valor_fo
537;7272855.527879
538;7272855.317269
539;7272849.424185
540;7272849.424185
541;7272849.424185
542;7272849.424185
543;7272849.424185
544;7272849.424185
545;7272849.168485
546;7272849.168485
547;7272849.160621
548;7272848.648336
549;7272848.493010
550;7272848.337683
551;7272848.290908
552;7272848.152836
553;7272847.322568
554;7272847.322568
555;7272847.322568
556;7272841.977217
557;7272841.977217
558;7272841.977217
559;7272841.972260
560;7272841.972260
561;7272841.761966
562;7272841.761966
563;7272841.761966
564;7272841.761966
565;7272841.761966
566;7272841.761966
567;7272841.761966
568;7272841.761966
569;7272841.761966
570;7272841.761966
571;7272841.761966
572;7272841.761966
573;7272841.761966
574;7272841.472418
575;7142980.727425
576;7142980.645727
577;7142980.645727
578;7142978.555634
579;7142978.555634
580;7108558.895873
581;7108558.895873
582;7108558.895873
583;7108558.895873
584;7096900.039344
585;7096899.970906
586;7073301.672839
587;7073298.026456
588;7073297.753406
589;7073297.753406
590;7073297.753406
591;7073297.753406
592;7073297.753406
593;7073297.753406
594;7073297.753406
595;7073297.753406
596;7073297.753406
597;7073297.753406
598;7063068.120537
599;7063067.992080
600;7063067.918073
601;7055345.490510
602;7049311.126708
603;7049311.126708
604;7049307.841785
605;7000131.547338
606;7000128.428424
607;7000128.206038
608;7000128.206038
609;6981266.071875
610;6974925.746614
611;6969835.857822
612;6962162.560142
613;6962162.464504
614;6962162.296805
615;6962161.956451
616;6962161.616097
617;6962161.616097
618;6962161.616097
619;6962161.616097
620;6942814.400123
621;6923219.181279
622;6923219.152207
623;6923218.606076
624;6923217.961839
625;6923217.961839
626;6923214.893959
627;6923214.640438
628;6896698.675414
629;6896692.047468
630;6896691.790749
631;6896691.763216
632;6896687.993836
633;6896687.993836
634;6896687.993836
635;6896687.993836
636;6896687.993836
637;6896687.993836
638;6896687.993836
639;6896687.993836
640;6896687.981292
641;6896687.981292
642;6896687.402409
643;6896687.402409
644;6896687.402409
645;6896687.321914
646;6896684.810946
647;6896684.784768
648;6896684.777508
649;6896684.750631
650;6896684.750631
651;6896684.726458
652;6883250.028996
653;6883249.860666
654;6883249.781233
655;6842246.450733
656;6842246.450733
657;6842245.849569
658;6842245.267117
659;6842245.202999
660;6811735.246308
661;6808651.969755
662;6808651.928943
663;6808651.857467
664;6808651.693231
665;6808651.685055
666;6808651.628762
667;6808651.612127
668;6800141.604255
669;6800141.604255
670;6800141.527336
671;6800141.494849
672;6800141.477982
673;6800141.477982
674;6800140.987689
675;6800140.938336
676;6800139.037216
677;6800137.921121
678;6800137.910942
679;6800137.908018
680;6800137.798544
681;6800137.798544
682;6800137.798544
683;6800137.798544
684;6785852.418452
685;6785852.299745
686;6785851.640945
687;6785851.640945
688;6756898.163124
689;6756898.163124
690;6756898.163124
691;6756898.126871
692;6756897.652252
693;6756897.403081
694;6756896.993809
695;6756896.680189
696;6712470.965778
697;6712470.574527
698;6712470.574527
699;6712470.574527
700;6712470.574527
701;6689803.826382
702;6689803.677515
703;6666809.935947
704;6666809.935947
705;6666809.935947
706;6666809.935947
707;6666809.935947
708;6666809.935947
709;6666808.948666
710;6666808.948666
711;6666808.948666
712;6666808.948666
713;6666808.948666
714;6666808.948666
715;6666808.948666
716;6666808.948666
717;6666808.948666
718;6666808.948666
719;6666808.948666
720;6666808.948666
721;6666808.948666
722;6666808.948666
723;6666808.948666
724;6666808.948666
725;6666808.948666
726;6666808.948666
727;6666808.948666
728;6666808.948666
729;6666808.948666
730;6666808.948666
731;6666808.948666
732;6666808.948666
733;6666808.948666
734;6666808.948666
735;6666808.948666
736;6666808.948666
